,y
13244,1
17317,1
2538,1
13576,1
1614,1
44870,0
8054,1
42307,0
37457,0
17748,1
12001,1
37751,0
38342,0
19744,1
48737,0
46318,0
46441,0
4567,1
20560,1
12580,1
18829,1
26767,0
9361,1
30517,0
3660,1
39635,0
12869,1
43300,0
29012,0
2453,1
31903,0
12324,1
25084,1
25314,1
32506,0
12390,1
13772,1
40258,0
14906,1
26429,0
1052,1
26205,0
24507,1
32395,0
37439,0
4481,1
20072,1
26235,0
25585,0
7703,1
2832,1
12306,1
14943,1
5286,1
13427,1
32678,0
45878,0
25097,1
38414,0
21625,1
42851,0
9452,1
10498,1
8174,1
31339,0
42218,0
17065,1
40806,0
45333,0
26416,0
628,1
38957,0
33583,0
11502,1
8145,1
24330,1
22363,1
36601,0
5358,1
23737,1
3475,1
7111,1
21660,1
4317,1
38393,0
6107,1
40657,0
24790,1
13226,1
50674,0
3880,1
43584,0
43091,0
34073,0
23532,1
34069,0
27376,0
20130,1
19844,1
41460,0
12600,1
311,1
2774,1
37643,0
898,1
33057,0
9881,1
7983,1
441,1
6079,1
45164,0
48911,0
26315,0
19077,1
34209,0
10033,1
19490,1
3884,1
19036,1
41249,0
26242,0
43604,0
35014,0
43853,0
15444,1
48792,0
32502,0
41101,0
15317,1
20129,1
20861,1
33916,0
26211,0
26975,0
45370,0
18666,1
3013,1
15500,1
16998,1
36096,0
34092,0
8516,1
27129,0
43106,0
34014,0
29911,0
49416,0
34536,0
33541,0
24451,1
11146,1
50743,0
20582,1
1039,1
12271,1
6728,1
16977,1
46252,0
5051,1
2328,1
23977,1
19041,1
15954,1
28585,0
10274,1
22098,1
15286,1
25927,0
30344,0
26847,0
24126,1
1459,1
16137,1
15083,1
3791,1
19398,1
25131,1
50402,0
11948,1
767,1
33402,0
32518,0
24548,1
50994,0
30269,0
21452,1
6233,1
3713,1
48138,0
26997,0
8940,1
14451,1
18853,1
13951,1
43667,0
21935,1
39360,0
17116,1
11469,1
6226,1
6001,1
39438,0
48249,0
24178,1
2419,1
9717,1
46936,0
224,1
38504,0
10245,1
34279,0
7783,1
1441,1
8635,1
16533,1
39118,0
46386,0
18933,1
50364,0
40717,0
13175,1
2619,1
50903,0
5594,1
34468,0
29529,0
42677,0
30921,0
22335,1
10410,1
43331,0
27305,0
25588,0
40438,0
41223,0
47368,0
45963,0
29107,0
15981,1
36673,0
15307,1
3037,1
38014,0
46488,0
39992,0
4431,1
25185,1
49144,0
43392,0
7918,1
25418,1
34441,0
50800,0
11913,1
28330,0
4985,1
17007,1
13442,1
50157,0
26909,0
34398,0
6458,1
47735,0
42704,0
13548,1
47559,0
133,1
25199,1
8142,1
24059,1
26436,0
10905,1
2669,1
47499,0
10821,1
12127,1
46884,0
36203,0
35968,0
36843,0
14757,1
25358,1
8512,1
10415,1
5191,1
30381,0
27813,0
2938,1
11512,1
9687,1
46512,0
4935,1
38441,0
33422,0
36169,0
16713,1
17254,1
26957,0
19653,1
19661,1
19760,1
27782,0
46149,0
14226,1
22796,1
33854,0
23907,1
48589,0
42057,0
2704,1
17374,1
31245,0
49679,0
45229,0
2244,1
49683,0
44457,0
7616,1
11714,1
24733,1
28987,0
18381,1
48665,0
31670,0
32244,0
15106,1
43559,0
27158,0
35623,0
13828,1
37032,0
28501,0
40048,0
8943,1
40655,0
29244,0
35369,0
47283,0
17592,1
1502,1
29726,0
43746,0
42167,0
39972,0
31122,0
3569,1
13894,1
14570,1
39881,0
9418,1
39783,0
5756,1
44365,0
49616,0
30110,0
24871,1
48242,0
24341,1
24556,1
16799,1
11535,1
48087,0
5861,1
41497,0
18172,1
49921,0
43194,0
672,1
14881,1
2128,1
37628,0
40263,0
22622,1
13083,1
39674,0
6814,1
29566,0
2130,1
4811,1
2434,1
46549,0
27123,0
7836,1
44111,0
19722,1
20257,1
47208,0
24836,1
15043,1
37227,0
39129,0
18487,1
16607,1
39172,0
10562,1
3736,1
15389,1
41671,0
24272,1
28123,0
44100,0
17689,1
9610,1
8223,1
2015,1
13484,1
49659,0
48859,0
36565,0
28321,0
36285,0
16542,1
46554,0
18764,1
43413,0
2448,1
48667,0
16082,1
7025,1
33292,0
25117,1
28174,0
42433,0
2574,1
8954,1
9,1
10104,1
33459,0
26544,0
1348,1
34777,0
40735,0
33460,0
13641,1
44973,0
16802,1
50739,0
41122,0
40995,0
37155,0
44994,0
45623,0
25847,0
8560,1
43996,0
17294,1
15537,1
31222,0
16257,1
24653,1
